X,Y
-11.894087,-66.62276
-56.91195,55.902023
-28.919655,-39.37477
-14.014501,-66.510704
-57.195915,63.281708
-56.954556,55.94083
-25.617651,-40.231354
-16.535425,-66.83598
-28.032011,-39.612583
-56.915787,55.892982
-57.15114,64.12088
-25.786722,-40.179344
-57.289543,63.509003
-15.961722,-66.66435
8.877765,0.31062183
-26.653917,-69.78208
-43.772343,-57.763863
-40.760635,-49.026203
23.644743,-91.805855
-26.731329,-68.68886
-57.267715,64.27231
-57.627415,55.774265
-57.640736,55.1299
-43.5949,-57.48603
-30.96243,-41.282948
-57.467728,63.969658
-28.504538,-68.50752
-54.45506,75.01115
-8.84344,-74.56321
-46.04014,-61.63792
-57.494118,63.52832
91.17062,28.359978
-41.412613,-45.44204
-54.65398,75.23727
-42.633797,-41.288948
-40.79533,-53.620586
-43.547127,-54.230026
-45.52546,-59.913967
-29.106153,-28.230145
-37.050823,-30.455677
-29.531582,-40.9392
-42.32412,-42.22702
-42.05387,-55.288765
-13.104521,-66.5183
-45.38685,-58.219933
-65.31701,58.363743
-60.408226,74.81036
-54.826916,75.33594
-8.870472,-74.75075
-42.30433,-52.30754
-58.36299,58.941566
-42.08893,-55.394917
-11.8522835,-78.04426
-32.641396,-39.2688
-33.600216,-40.22816
-43.647125,-51.777515
23.954401,-91.48186
-42.00394,-55.143864
-57.825935,64.44534
-58.22029,64.5596
-43.66727,-51.86022
12.311246,68.456085
-25.58612,-40.245625
-65.47324,58.48662
-45.374508,-52.305824
-37.49831,-45.523006
-45.60852,-56.73719
-11.864631,-78.0606
15.451772,67.39412
-34.498047,-33.562477
-35.545067,-32.697655
24.103003,-91.30053
-38.277794,11.30917
-28.311901,-39.52238
6.2492075,0.20421746
-45.50874,-57.416405
24.398693,-91.61948
-36.20878,-23.531546
-35.670666,-28.071196
-21.064854,-63.94921
8.781339,-2.7385466
-32.587307,-14.331568
-65.68822,58.818848
-55.007957,75.112236
-35.795055,-43.04681
-42.610626,-41.092148
90.815605,15.808455
-94.2067,-8.827854
-30.793823,-43.22589
76.22829,-69.59484
10.300425,-2.169233
-28.76031,-44.748535
-41.612152,-45.35365
-66.56463,55.85786
-32.948494,-15.212751
61.53487,58.815857
-57.821373,76.7384
-41.91432,-50.32496
-57.997223,53.81192
98.80591,-10.524141
-43.66005,-39.28494
-45.033325,-52.366463
-28.926245,-9.656851
13.940281,58.933826
-38.28557,-29.574814
-45.46717,-58.403774
-8.112063,-63.961685
-41.581757,-49.25397
-55.455982,75.7522
-25.864697,-39.35109
-41.520817,-49.128223
-25.892405,-30.121784
-58.334408,64.604675
-26.976646,-8.36381
-27.326588,-8.076951
61.761856,58.909195
12.576064,67.59594
-44.785652,-54.249237
-43.947098,-57.619865
-60.999996,23.436075
-34.45269,-33.595703
-45.49396,-59.932373
-94.15726,-7.8327065
-28.10637,-68.384705
-57.073486,52.999012
-41.741142,-53.874203
-34.367725,-18.14707
-37.82572,-45.539265
-10.753696,-70.76072
-35.856625,-28.259706
-45.54658,-53.547127
10.36674,-2.2233293
-30.449701,-43.710403
-59.016197,63.69624
-35.538937,-27.929596
-41.682426,-53.24119
-25.65756,-40.21687
-75.91728,-60.81457
-45.56791,-52.72882
-53.967094,12.225579
-36.756382,-30.121662
-28.263165,-84.76327
-44.567547,-52.72408
-36.303474,-24.381815
-33.521572,-33.233932
71.744675,-1.2283213
-33.322586,-33.432076
-44.285454,-57.55255
-35.483784,-42.641556
