columns,weights
Platform,0.06396254717346721
Year_of_Release,0.0
Genre,0.059965394057949914
Publisher,0.06483444889376809
Critic_Score,0.1319920116758256
Critic_Count,0.16911949690755246
User_Score,0.03588638749660679
User_Count,0.3612654360405824
Developer,0.06927822533260013
Rating,0.04369605242164725
