Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Resonance of Fate,17,2010.0,7,448,0.2,0.21,0.24,0.08,0.73,72.0,42.0,8,136.0,1518,7
Madagascar: Escape 2 Africa,4,2008.0,0,21,0.41,0.25,0.0,0.07,0.73,55.0,6.0,7.8,4.0,69,1
Pirates of the Caribbean: At World's End,17,2007.0,0,127,0.17,0.41,0.0,0.15,0.73,55.0,24.0,6.9,19.0,502,7
FIFA: Road to World Cup 98,15,1997.0,10,139,0.14,0.09,0.46,0.05,0.73,70.0,4.0,7.8,4.0,1539,1
The Amazing Spider-Man (Console Version),28,2012.0,0,21,0.43,0.24,0.0,0.06,0.73,70.0,4.0,7.8,4.0,1539,1
Dragon Ball Z: Ultime Menace,23,1993.0,2,349,0.0,0.0,0.73,0.0,0.73,70.0,4.0,7.8,4.0,1539,1
The Walking Dead: Season One,28,2012.0,1,58,0.55,0.13,0.0,0.05,0.73,70.0,4.0,7.8,4.0,1539,1
Tiger Woods PGA Tour 08,17,2007.0,10,139,0.22,0.37,0.0,0.14,0.73,79.0,30.0,6.6,7.0,447,1
Classic NES Series: Donkey Kong,6,2004.0,4,361,0.4,0.15,0.17,0.01,0.73,55.0,15.0,4.8,4.0,1020,1
Harvest Moon: Animal Parade,26,2008.0,9,432,0.58,0.08,0.02,0.05,0.73,76.0,10.0,8.9,20.0,987,1
Split/Second,17,2010.0,6,127,0.31,0.3,0.01,0.11,0.73,70.0,4.0,7.8,4.0,1539,1
Yoshi,5,1991.0,5,361,0.0,0.0,0.73,0.0,0.73,70.0,4.0,7.8,4.0,1539,1
Mortal Kombat 4,10,1998.0,2,178,0.55,0.17,0.0,0.01,0.73,70.0,4.0,7.8,4.0,1539,1
WWE SmackDown vs. Raw 2010,26,2009.0,2,491,0.49,0.17,0.0,0.06,0.73,78.0,11.0,7.7,9.0,1652,7
Style Savvy: Trendsetters,2,2012.0,9,361,0.16,0.02,0.53,0.01,0.73,76.0,5.0,8,15.0,1694,1
Croc 2,15,1999.0,4,165,0.41,0.28,0.0,0.05,0.73,70.0,4.0,7.8,4.0,1539,1
Final Fantasy XIII-2,28,2011.0,7,467,0.36,0.29,0.02,0.06,0.73,79.0,50.0,6.3,268.0,1365,7
Practise English!,4,2007.0,3,361,0.0,0.0,0.73,0.0,0.73,70.0,4.0,7.8,4.0,1539,1
Oddworld: Munch's Oddysee,29,2001.0,4,53,0.54,0.16,0.0,0.03,0.73,80.0,30.0,8.7,32.0,1051,7
Persona 4: Arena,17,2012.0,2,55,0.3,0.11,0.24,0.07,0.73,86.0,47.0,7.7,180.0,92,7
Berzerk,0,1981.0,8,53,0.68,0.04,0.0,0.01,0.73,70.0,4.0,7.8,4.0,1539,1
Brink,17,2011.0,8,66,0.29,0.32,0.01,0.12,0.73,72.0,39.0,5.8,168.0,1362,7
NHL 11,28,2010.0,10,139,0.61,0.07,0.0,0.05,0.73,88.0,49.0,7.7,71.0,477,2
NCAA Football 07,28,2006.0,10,139,0.67,0.0,0.0,0.06,0.73,79.0,43.0,6.9,20.0,449,1
Just Dance Wii,26,2011.0,3,361,0.0,0.0,0.73,0.0,0.73,70.0,4.0,7.8,4.0,1539,1
Full Spectrum Warrior,29,2004.0,11,491,0.54,0.16,0.0,0.03,0.73,84.0,67.0,8.7,27.0,1085,5
LEGO Marvel's Avengers,18,2016.0,0,552,0.26,0.35,0.0,0.12,0.73,71.0,70.0,7,87.0,1432,2
Katamari Damacy,16,2004.0,5,349,0.47,0.02,0.17,0.08,0.73,86.0,55.0,9,86.0,978,1
Just Dance 2015,27,2014.0,3,528,0.38,0.29,0.0,0.06,0.73,75.0,6.0,6.6,26.0,1539,2
Beyblade VForce: Ultimate Blader Jam,6,2003.0,0,53,0.52,0.19,0.0,0.01,0.73,70.0,4.0,7.8,4.0,1437,1
LEGO Dimensions,18,2015.0,0,552,0.24,0.37,0.0,0.12,0.73,80.0,53.0,7.1,65.0,1511,2
Naruto Shippuden: Ultimate Ninja Storm Generations,17,2012.0,2,349,0.27,0.24,0.14,0.08,0.73,74.0,23.0,7.1,83.0,356,7
Shaun Palmer's Pro Snowboarder,16,2001.0,10,91,0.36,0.28,0.0,0.09,0.73,64.0,17.0,8.7,13.0,377,1
James Bond 007: Agent Under Fire,7,2002.0,8,139,0.56,0.15,0.0,0.02,0.72,74.0,16.0,6.8,25.0,477,7
Harvest Moon DS: Island of Happiness,4,2007.0,9,432,0.43,0.01,0.25,0.04,0.72,65.0,15.0,7,22.0,1429,1
Star Wars Episode III: Revenge of the Sith,6,2005.0,0,528,0.52,0.19,0.0,0.01,0.72,73.0,13.0,7.5,12.0,1539,2
Ultimate Spider-Man,16,2005.0,0,21,0.6,0.02,0.0,0.1,0.72,74.0,52.0,7.9,54.0,1514,7
Monopoly Streets,26,2010.0,3,139,0.23,0.42,0.0,0.08,0.72,65.0,9.0,5.2,5.0,477,1
Imagine: Interior Designer,4,2008.0,9,528,0.34,0.31,0.0,0.08,0.72,70.0,4.0,7.8,4.0,1539,1
Ratchet & Clank Collection,17,2012.0,0,458,0.47,0.13,0.02,0.1,0.72,70.0,4.0,7.8,4.0,1539,1
SD Gundam G Generation,15,1998.0,11,349,0.0,0.0,0.67,0.05,0.72,70.0,4.0,7.8,4.0,1539,1
Rabbids Go Home,4,2009.0,4,528,0.35,0.3,0.0,0.07,0.72,70.0,7.0,7.8,4.0,1546,1
God Eater,19,2010.0,0,533,0.0,0.0,0.72,0.0,0.72,70.0,4.0,7.8,4.0,1539,1
Area 51,15,1996.0,8,178,0.4,0.27,0.0,0.05,0.72,70.0,4.0,7.8,4.0,1539,1
Total War: Rome II,13,2013.0,11,448,0.12,0.53,0.0,0.07,0.72,76.0,71.0,4.2,3742.0,337,7
NBA Live 08,16,2007.0,10,139,0.59,0.02,0.01,0.1,0.72,68.0,10.0,6.6,9.0,431,1
Star Ocean: The Last Hope International,17,2010.0,7,467,0.28,0.15,0.22,0.07,0.72,74.0,45.0,6.7,155.0,1368,7
Dead to Rights,29,2002.0,8,139,0.53,0.17,0.0,0.03,0.72,73.0,39.0,8.9,16.0,978,5
Indiana Jones and the Staff of Kings,26,2009.0,0,21,0.36,0.29,0.0,0.07,0.72,55.0,32.0,7,28.0,108,7
Tiger Woods PGA Tour 07,16,2006.0,10,139,0.6,0.02,0.0,0.1,0.72,79.0,33.0,6,8.0,445,1
My Little Pony: Pinkie Pie's Party,4,2008.0,1,491,0.66,0.0,0.0,0.06,0.72,70.0,4.0,0,4.0,1420,1
Test Drive 6,15,1999.0,6,53,0.4,0.27,0.0,0.05,0.72,70.0,4.0,7.8,4.0,1539,1
Major League Baseball 2K7,28,2007.0,10,464,0.67,0.0,0.0,0.06,0.72,79.0,31.0,7.1,34.0,827,1
Kouchuu Ouja Mushi King,6,2005.0,0,448,0.0,0.0,0.7,0.02,0.72,70.0,4.0,7.8,4.0,1539,1
Persona Q: Shadow of the Labyrinth,2,2014.0,7,364,0.34,0.07,0.27,0.04,0.72,83.0,56.0,8.1,169.0,128,5
MLB 14: The Show,18,2014.0,10,459,0.58,0.0,0.0,0.14,0.72,83.0,17.0,7.7,205.0,1247,1
X-Men: Mutant Academy 2,15,2001.0,2,21,0.4,0.27,0.0,0.05,0.72,72.0,12.0,8.4,18.0,1093,7
Kirby: Canvas Curse,4,2005.0,4,361,0.36,0.0,0.32,0.03,0.72,86.0,48.0,8.2,87.0,638,1
Jampack Winter 2001,16,2001.0,3,458,0.35,0.28,0.0,0.09,0.72,70.0,4.0,7.8,4.0,1539,1
Kangaroo,0,1982.0,4,53,0.67,0.04,0.0,0.01,0.72,70.0,4.0,7.8,4.0,1539,1
Madden NFL 10,26,2009.0,10,139,0.62,0.04,0.0,0.06,0.72,77.0,23.0,7.2,24.0,453,1
MLB 09: The Show,17,2009.0,10,458,0.66,0.0,0.0,0.06,0.72,90.0,27.0,8.1,61.0,1247,1
Borderlands: The Pre-Sequel,28,2014.0,8,497,0.46,0.19,0.01,0.07,0.72,74.0,16.0,6.4,161.0,10,5
Disney Infinity 3.0,18,2015.0,0,127,0.24,0.37,0.0,0.12,0.72,70.0,4.0,7.8,4.0,1539,1
Madden NFL 11,26,2008.0,10,533,0.68,0.0,0.0,0.04,0.72,75.0,6.0,5.4,7.0,453,1
Super Monkey Ball Jr.,6,2002.0,5,53,0.51,0.19,0.0,0.01,0.72,82.0,20.0,8.6,11.0,1186,1
The Witcher 3: Wild Hunt,13,2015.0,7,349,0.21,0.46,0.0,0.05,0.72,93.0,32.0,9.3,10665.0,264,5
F1 2011,28,2011.0,6,91,0.11,0.5,0.01,0.09,0.72,84.0,61.0,7.1,54.0,305,1
Mobile Suit Gundam: Encounters in Space,16,2003.0,9,349,0.05,0.04,0.61,0.01,0.72,66.0,10.0,8.5,37.0,155,7
MLB 10: The Show,17,2010.0,10,458,0.66,0.0,0.0,0.06,0.72,91.0,33.0,8.3,107.0,1246,1
MX vs. ATV Reflex,28,2009.0,6,491,0.52,0.14,0.0,0.06,0.72,75.0,47.0,6.6,30.0,1171,1
Blur,17,2010.0,6,21,0.22,0.36,0.02,0.12,0.72,81.0,58.0,8.2,86.0,202,2
Avatar: The Game,26,2009.0,0,528,0.32,0.32,0.0,0.07,0.72,70.0,4.0,7.8,4.0,1539,1
Fear Effect,15,1998.0,0,138,0.4,0.27,0.0,0.05,0.72,70.0,4.0,7.8,4.0,1539,1
Battlefield: Bad Company 2,13,2010.0,8,139,0.19,0.53,0.0,0.0,0.72,87.0,46.0,8.3,1467.0,437,5
DiRT 3,28,2011.0,6,91,0.23,0.4,0.01,0.08,0.72,87.0,81.0,7.1,166.0,305,7
The Lord of the Rings: The Two Towers,29,2002.0,0,139,0.45,0.24,0.0,0.03,0.71,79.0,17.0,8.1,18.0,1384,7
Madden NFL 2003,29,2002.0,10,139,0.67,0.02,0.0,0.03,0.71,92.0,16.0,8.3,16.0,453,1
Skate,28,2007.0,10,139,0.62,0.03,0.0,0.06,0.71,86.0,59.0,8.4,137.0,429,7
iCarly,4,2009.0,1,21,0.66,0.01,0.0,0.05,0.71,70.0,4.0,8.3,6.0,686,1
XCOM: Enemy Unknown,13,2012.0,11,497,0.27,0.36,0.0,0.08,0.71,89.0,57.0,8.2,2235.0,529,5
Ben 10: Protector of Earth,19,2007.0,0,110,0.23,0.3,0.0,0.18,0.71,60.0,4.0,7.2,23.0,666,2
Virtua Fighter 4: Evolution,16,2003.0,2,448,0.35,0.27,0.0,0.09,0.71,93.0,30.0,9,48.0,1289,7
Crysis,13,2007.0,8,139,0.0,0.69,0.0,0.02,0.71,91.0,56.0,8,1970.0,346,5
Resident Evil: Survivor,15,2000.0,0,138,0.23,0.15,0.29,0.05,0.71,39.0,10.0,7,47.0,268,5
The Sims 2: Castaway,4,2007.0,9,139,0.62,0.04,0.0,0.06,0.71,66.0,8.0,4,5.0,558,1
Super Trucks Racing,16,2002.0,6,258,0.35,0.27,0.0,0.09,0.71,66.0,8.0,7.8,4.0,768,1
Godzilla: Destroy All Monsters Melee,7,2002.0,2,53,0.55,0.14,0.0,0.02,0.71,73.0,30.0,7.8,23.0,1110,7
Jeremy McGrath Supercross 2000,15,2000.0,6,17,0.4,0.27,0.0,0.05,0.71,43.0,11.0,7.8,4.0,42,1
Conker: Live And Reloaded,29,2005.0,1,325,0.49,0.2,0.0,0.02,0.71,70.0,4.0,7.8,4.0,1539,1
Silent Hill 3,16,2003.0,0,277,0.35,0.27,0.0,0.09,0.71,85.0,41.0,8.8,315.0,788,5
Yu-Gi-Oh! The Falsebound Kingdom,7,2002.0,11,277,0.49,0.13,0.07,0.02,0.71,70.0,4.0,7.8,4.0,1539,1
Spyro: Enter the Dragonfly,7,2002.0,4,532,0.55,0.14,0.0,0.02,0.71,48.0,13.0,5.1,24.0,498,1
Scooby-Doo 2: Monsters Unleashed,6,2004.0,0,491,0.51,0.19,0.0,0.01,0.71,46.0,5.0,7.8,4.0,66,1
Power Rangers: Dino Thunder,16,2004.0,0,491,0.35,0.27,0.0,0.09,0.71,49.0,6.0,6.2,5.0,1081,1
Madden NFL 08,19,2007.0,10,139,0.6,0.04,0.0,0.07,0.71,75.0,10.0,6.8,8.0,453,1
Blast Corps,10,1997.0,0,361,0.39,0.09,0.17,0.06,0.71,70.0,4.0,7.8,4.0,1539,1
LEGO Racers,10,1999.0,6,279,0.51,0.18,0.0,0.01,0.71,70.0,4.0,7.8,4.0,1539,1
WWF Attitude,10,1999.0,2,17,0.57,0.13,0.0,0.01,0.71,70.0,4.0,7.8,4.0,1539,1
Tactics Ogre: Let Us Cling Together,23,1995.0,7,417,0.0,0.0,0.71,0.0,0.71,70.0,4.0,7.8,4.0,1539,1
Madden NFL 09,19,2008.0,10,139,0.65,0.0,0.0,0.06,0.71,68.0,8.0,6.5,4.0,453,1
"WarioWare, Inc.: Mega Party Game$",7,2003.0,5,361,0.2,0.05,0.44,0.02,0.71,70.0,4.0,7.8,4.0,1539,1
NBA Live 09,28,2008.0,10,139,0.5,0.14,0.0,0.07,0.71,77.0,32.0,7.4,14.0,431,1
Battle Arena Toshinden 2,15,1995.0,2,458,0.15,0.1,0.41,0.05,0.71,70.0,4.0,7.8,4.0,1539,1
Dragon Ball: Xenoverse 2,18,2016.0,0,349,0.24,0.27,0.09,0.1,0.71,73.0,54.0,7.8,117.0,405,7
Dynasty Warriors 6,17,2007.0,0,503,0.18,0.07,0.41,0.04,0.71,59.0,31.0,7.3,49.0,810,7
Jeopardy!,15,1997.0,3,217,0.39,0.27,0.0,0.05,0.71,70.0,4.0,7.8,4.0,1539,1
South Park,15,1998.0,8,17,0.39,0.27,0.0,0.05,0.71,70.0,4.0,7.8,4.0,1539,1
NCAA Football 09,28,2008.0,10,139,0.65,0.0,0.0,0.05,0.71,83.0,24.0,7.7,26.0,453,1
Doom 3: Resurrection of Evil,29,2005.0,8,21,0.53,0.15,0.0,0.03,0.71,77.0,41.0,7.9,16.0,1687,5
SSX,28,2012.0,10,139,0.38,0.26,0.0,0.06,0.7,82.0,65.0,6.4,186.0,431,1
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,26,2007.0,7,467,0.18,0.01,0.5,0.02,0.7,65.0,43.0,5.9,21.0,474,7
Two Worlds,28,2007.0,7,463,0.41,0.22,0.0,0.07,0.7,50.0,44.0,5.5,182.0,1187,5
Tony Hawk's Underground,7,2003.0,10,21,0.54,0.14,0.0,0.02,0.7,89.0,19.0,8.5,24.0,1004,7
Spider-Man 2,19,2005.0,0,21,0.35,0.21,0.0,0.14,0.7,67.0,43.0,6.9,8.0,1591,7
Super Bomberman 3,23,1994.0,5,227,0.0,0.0,0.7,0.0,0.7,70.0,4.0,7.8,4.0,1539,1
NCAA Football 08,28,2007.0,10,139,0.65,0.0,0.0,0.05,0.7,81.0,30.0,7.8,44.0,449,1
Command & Conquer: Red Alert Retaliation,15,1998.0,11,545,0.39,0.27,0.0,0.05,0.7,70.0,4.0,7.8,4.0,1539,1
Skylanders: Trap Team,27,2014.0,0,21,0.38,0.26,0.0,0.06,0.7,86.0,4.0,7.1,18.0,1507,2
Star Wars: Obi-Wan,29,2001.0,0,21,0.52,0.16,0.0,0.02,0.7,58.0,28.0,5.9,14.0,861,7
Ace Attorney Investigations: Miles Edgeworth,4,2009.0,1,85,0.23,0.14,0.3,0.04,0.7,78.0,51.0,8.4,79.0,268,7
Kill.Switch,16,2003.0,8,458,0.34,0.27,0.0,0.09,0.7,73.0,33.0,8.3,19.0,978,7
Catherine,17,2011.0,1,121,0.3,0.14,0.2,0.06,0.7,79.0,61.0,8.1,372.0,128,5
Madden NFL 2005,7,2004.0,10,139,0.54,0.14,0.0,0.02,0.7,90.0,26.0,7.8,4.0,453,1
F-14 Tomcat,6,2001.0,0,298,0.5,0.19,0.0,0.01,0.7,67.0,8.0,7.8,4.0,1603,1
SplashDown,16,2001.0,6,53,0.34,0.27,0.0,0.09,0.7,84.0,22.0,8.2,11.0,1171,1
NCAA Football 98,15,1997.0,10,139,0.39,0.27,0.0,0.05,0.7,70.0,4.0,7.8,4.0,1539,1
Jade Empire,29,2005.0,7,325,0.48,0.19,0.0,0.03,0.7,89.0,84.0,8.6,113.0,196,5
Infinite Undiscovery,28,2008.0,7,467,0.34,0.18,0.12,0.06,0.7,68.0,60.0,7,158.0,1518,7
FIFA Soccer 11,4,2010.0,10,139,0.13,0.49,0.0,0.08,0.7,63.0,5.0,7.8,4.0,449,1
Chocobo's Dungeon 2,15,1998.0,7,469,0.04,0.03,0.58,0.05,0.7,70.0,4.0,7.8,4.0,1539,1
Call of Duty: Ghosts,13,2013.0,8,21,0.23,0.41,0.0,0.05,0.7,70.0,4.0,7.8,4.0,1539,1
Lego Star Wars: The Force Awakens,18,2016.0,0,552,0.16,0.43,0.01,0.11,0.7,78.0,61.0,7.5,91.0,1432,2
NHL 12,28,2011.0,10,139,0.55,0.1,0.0,0.05,0.7,86.0,56.0,7,72.0,477,2
Advance Wars,6,2001.0,11,361,0.5,0.19,0.0,0.01,0.7,92.0,28.0,9,95.0,735,1
NASCAR 2001,16,2000.0,6,139,0.34,0.27,0.0,0.09,0.7,66.0,16.0,6.6,9.0,449,1
NCAA Football 2001,15,2000.0,10,139,0.39,0.26,0.0,0.05,0.7,70.0,4.0,7.8,4.0,1539,1
WWE SmackDown vs. Raw 2011,19,2010.0,2,491,0.22,0.31,0.0,0.17,0.7,70.0,4.0,6.7,7.0,1652,7
Mafia,16,2004.0,0,236,0.34,0.27,0.0,0.09,0.7,65.0,30.0,7.6,62.0,708,5
Hannah Montana: The Movie,4,2009.0,1,127,0.38,0.25,0.0,0.07,0.7,70.0,4.0,7.8,4.0,1689,1
Ape Escape: On the Loose,19,2005.0,4,458,0.52,0.0,0.12,0.05,0.7,66.0,35.0,6.4,16.0,1249,1
Mobile Suit Gundam: Journey to Jaburo,16,2000.0,9,349,0.16,0.13,0.36,0.04,0.7,58.0,16.0,8.1,49.0,155,7
MLB 08: The Show,17,2008.0,10,458,0.64,0.0,0.0,0.05,0.7,85.0,33.0,8.7,76.0,1247,1
TimeSplitters 2,16,2002.0,8,138,0.34,0.27,0.0,0.09,0.7,90.0,33.0,8.8,127.0,545,7
Omerta: City of Gangsters,28,2011.0,9,277,0.42,0.22,0.0,0.06,0.7,43.0,18.0,3.3,25.0,792,7
Driver: San Francisco,28,2011.0,6,528,0.25,0.37,0.0,0.07,0.7,80.0,63.0,7.6,130.0,1554,7
Classic NES Series: Zelda II: The Adventure of Link,6,2004.0,1,361,0.37,0.14,0.17,0.01,0.7,73.0,8.0,7.5,39.0,1020,1
Fire Emblem: Monsh? no Nazo,23,1994.0,7,361,0.0,0.0,0.7,0.0,0.7,70.0,4.0,7.8,4.0,1539,1
Disney's Chicken Little,6,2005.0,4,127,0.5,0.18,0.0,0.01,0.7,71.0,6.0,7.8,4.0,108,1
James Bond 007: Blood Stone,17,2010.0,8,21,0.18,0.36,0.02,0.13,0.7,65.0,49.0,7.4,45.0,202,7
King Kong,0,1981.0,0,510,0.65,0.04,0.0,0.01,0.69,70.0,4.0,7.8,4.0,1539,1
Minecraft: Story Mode,18,2015.0,1,336,0.25,0.33,0.0,0.11,0.69,70.0,4.0,7.8,4.0,1539,1
Moto Racer 2,15,1997.0,6,139,0.39,0.26,0.0,0.05,0.69,70.0,4.0,7.8,4.0,1539,1
Metal Gear Solid: Portable Ops Plus,19,2007.0,0,277,0.26,0.0,0.26,0.17,0.69,65.0,19.0,7.5,27.0,812,7
LEGO Rock Band,26,2009.0,3,552,0.41,0.22,0.0,0.06,0.69,70.0,15.0,6.8,6.0,1431,2
Monster Hunter Tri,27,2012.0,7,361,0.24,0.19,0.22,0.04,0.69,70.0,4.0,7.8,4.0,1539,1
Halo 2 Multiplayer Map Pack,29,2005.0,8,325,0.54,0.13,0.0,0.02,0.69,89.0,37.0,7.4,34.0,257,5
Mortal Kombat: Shaolin Monks,16,2005.0,0,327,0.58,0.02,0.0,0.09,0.69,77.0,41.0,8.6,74.0,940,5
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",17,2009.0,8,21,0.28,0.3,0.0,0.12,0.69,70.0,4.0,7.8,4.0,1539,1
Minecraft: Story Mode,17,2015.0,1,336,0.27,0.31,0.0,0.11,0.69,70.0,4.0,7.8,4.0,1539,1
FIFA Soccer 13,26,2012.0,0,139,0.18,0.44,0.0,0.07,0.69,70.0,4.0,1.6,21.0,477,1
The LEGO Movie Videogame,2,2014.0,0,552,0.28,0.31,0.05,0.05,0.69,70.0,4.0,5.4,13.0,1432,2
MotionSports,28,2010.0,10,528,0.38,0.25,0.0,0.06,0.69,40.0,30.0,4.4,9.0,1545,7
MX vs. ATV Unleashed: On the Edge,19,2006.0,6,491,0.64,0.0,0.0,0.05,0.69,68.0,22.0,8.1,7.0,1171,1
Mario Pinball Land,6,2004.0,3,361,0.5,0.18,0.0,0.01,0.69,62.0,35.0,4.9,11.0,563,1
Mappy,11,1984.0,4,349,0.0,0.0,0.69,0.0,0.69,70.0,4.0,7.8,4.0,1539,1
J-League Soccer: Prime Goal,23,1993.0,10,349,0.0,0.0,0.69,0.0,0.69,70.0,4.0,7.8,4.0,1539,1
Dragon Ball Z: Budokai,7,2003.0,2,53,0.53,0.14,0.0,0.02,0.69,65.0,16.0,6.3,15.0,1154,7
NFL Xtreme,15,1998.0,10,458,0.38,0.26,0.0,0.05,0.69,70.0,4.0,7.8,4.0,1539,1
Need for Speed (2015),30,2015.0,6,139,0.3,0.33,0.0,0.06,0.69,70.0,4.0,7.8,4.0,1539,1
Plants vs. Zombies: Garden Warfare,30,2014.0,8,139,0.39,0.23,0.0,0.06,0.69,76.0,65.0,7.4,438.0,1131,2
Need for Speed Rivals,30,2013.0,6,139,0.46,0.17,0.0,0.07,0.69,75.0,18.0,5.8,175.0,609,2
The Sims 2: Apartment Pets,4,2008.0,9,139,0.31,0.3,0.0,0.07,0.69,50.0,12.0,3.3,4.0,558,1
Harry Potter and the Chamber of Secrets,7,2002.0,0,139,0.53,0.14,0.0,0.02,0.69,77.0,14.0,8.3,27.0,502,1
Prince of Persia: The Forgotten Sands,17,2010.0,0,528,0.19,0.36,0.01,0.12,0.69,75.0,49.0,7.6,120.0,1547,7
X-Men Origins: Wolverine - Uncaged Edition,28,2009.0,0,21,0.42,0.21,0.0,0.06,0.69,70.0,4.0,7.8,4.0,1539,1
The Lord of the Rings: The Return of the King,7,2003.0,0,139,0.53,0.14,0.0,0.02,0.69,84.0,23.0,8.5,21.0,695,7
The Sims: Medieval,13,2011.0,9,139,0.28,0.32,0.0,0.09,0.69,77.0,56.0,6.1,173.0,1485,7
LEGO Batman 2: DC Super Heroes,4,2012.0,0,552,0.39,0.24,0.0,0.06,0.69,70.0,4.0,8,4.0,1432,2
Top Spin 4,17,2011.0,10,497,0.17,0.39,0.0,0.13,0.69,82.0,37.0,7.7,55.0,11,1
Shrek the Third,28,2007.0,0,21,0.54,0.09,0.0,0.06,0.68,70.0,4.0,7.8,4.0,1539,1
Baldur's Gate: Dark Alliance II,16,2004.0,7,248,0.34,0.26,0.0,0.09,0.68,78.0,44.0,8.7,54.0,206,7
Shark Tale,6,2004.0,0,21,0.49,0.18,0.0,0.01,0.68,63.0,8.0,9,4.0,1591,1
IL-2 Sturmovik: Birds of Prey,17,2009.0,9,6,0.34,0.25,0.0,0.1,0.68,81.0,28.0,7.3,20.0,574,7
Test Drive Unlimited 2,28,2008.0,6,53,0.3,0.31,0.0,0.07,0.68,68.0,61.0,6.4,87.0,462,7
Star Wars: Masters of Teras Kasi,15,1997.0,0,290,0.38,0.26,0.0,0.04,0.68,70.0,4.0,7.8,4.0,1539,1
World of Zoo,4,2009.0,9,491,0.42,0.2,0.0,0.06,0.68,70.0,4.0,7.8,4.0,223,1
NBA Street Vol. 2,29,2003.0,10,139,0.62,0.04,0.0,0.02,0.68,89.0,22.0,8.8,24.0,477,1
Minecraft,27,2016.0,3,325,0.28,0.17,0.18,0.04,0.68,70.0,4.0,7.8,4.0,1539,1
MX vs. ATV Untamed,28,2007.0,6,491,0.55,0.08,0.0,0.06,0.68,70.0,43.0,7.1,17.0,1171,1
The Last Remnant,28,2008.0,7,467,0.25,0.2,0.18,0.06,0.68,66.0,49.0,6.9,122.0,1365,5
NCAA Football 2005,29,2004.0,10,139,0.63,0.02,0.0,0.03,0.68,89.0,29.0,8,12.0,449,1
Mortal Kombat Mythologies: Sub-Zero,15,1997.0,2,178,0.38,0.26,0.0,0.04,0.68,70.0,4.0,7.8,4.0,1539,1
The Sly Collection,17,2010.0,4,458,0.52,0.08,0.01,0.08,0.68,85.0,46.0,8.8,172.0,1279,2
Naruto: Clash of Ninja,7,2003.0,2,515,0.53,0.14,0.0,0.02,0.68,72.0,21.0,8.1,20.0,1497,7
Sniper Elite 3,18,2014.0,8,6,0.24,0.34,0.0,0.11,0.68,67.0,41.0,7.1,178.0,1190,5
Prince of Persia: The Two Thrones,16,2005.0,0,528,0.57,0.02,0.0,0.09,0.68,85.0,46.0,8.5,111.0,1547,5
Hot Shots Golf: Open Tee 2,19,2007.0,10,458,0.21,0.11,0.28,0.08,0.68,82.0,42.0,8.6,12.0,296,1
Mercenaries: Playground of Destruction,29,2005.0,0,290,0.54,0.11,0.0,0.03,0.68,70.0,4.0,7.8,4.0,1539,1
Bushido Blade 2,15,1998.0,2,469,0.25,0.17,0.22,0.04,0.68,70.0,4.0,7.8,4.0,1539,1
Suikoden II,15,1998.0,7,277,0.15,0.1,0.38,0.04,0.68,82.0,8.0,8.4,162.0,815,7
Iron Man,17,2008.0,0,448,0.32,0.25,0.0,0.11,0.68,42.0,27.0,6.2,45.0,1287,7
FIFA Soccer 06,29,2005.0,10,139,0.29,0.38,0.0,0.01,0.68,80.0,39.0,7.5,22.0,431,1
Fight Night 2004,29,2004.0,2,139,0.51,0.15,0.0,0.02,0.68,85.0,47.0,8.7,20.0,449,7
Tourist Trophy: The Real Riding Simulator,16,2006.0,6,458,0.28,0.22,0.11,0.07,0.68,70.0,4.0,7.8,4.0,1539,1
.hack//Mutation Part 2,16,2002.0,7,53,0.23,0.18,0.2,0.06,0.68,76.0,24.0,8.9,81.0,355,7
Wolfenstein: The New Order,30,2014.0,8,66,0.34,0.28,0.0,0.06,0.68,79.0,18.0,7.8,397.0,876,5
Cars: Mater-National Championship,4,2007.0,6,491,0.63,0.0,0.0,0.05,0.68,69.0,7.0,6.8,5.0,1171,1
LEGO Harry Potter: Years 1-4,19,2010.0,0,552,0.14,0.36,0.0,0.18,0.68,71.0,4.0,7.8,4.0,1431,2
Midway Arcade Treasures 2,16,2004.0,3,327,0.33,0.26,0.0,0.09,0.68,74.0,28.0,7.8,4.0,152,5
Kirby's Dream Collection: Special Edition,26,2012.0,0,361,0.33,0.0,0.33,0.02,0.67,82.0,6.0,8.8,37.0,638,2
Return to Castle Wolfenstein: Tides of War,29,2003.0,8,21,0.49,0.16,0.0,0.02,0.67,84.0,38.0,8.8,33.0,999,5
RIFT,13,2011.0,7,533,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,1523,7
Spider-Man 3,17,2007.0,4,21,0.26,0.29,0.02,0.11,0.67,60.0,33.0,7,40.0,1514,7
Street Sk8er,15,1998.0,10,139,0.37,0.25,0.0,0.04,0.67,70.0,4.0,7.8,4.0,1539,1
Mass Effect,13,2008.0,7,139,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0,197,5
Contra: Legacy of War,15,1996.0,8,277,0.37,0.25,0.0,0.04,0.67,70.0,4.0,7.8,4.0,1539,1
