Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Halo 3,28,2007.0,8,325,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,258,5
Super Mario 64,10,1996.0,4,361,6.91,2.85,1.91,0.23,11.89,70.0,4.0,7.8,4.0,1539,1
Pokemon HeartGold/Pokemon SoulSilver,4,2009.0,0,361,4.34,2.71,3.96,0.76,11.77,70.0,4.0,7.8,4.0,1539,1
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2,2014.0,7,361,4.35,3.49,3.1,0.74,11.68,70.0,4.0,7.8,4.0,1539,1
Gran Turismo 4,16,2004.0,6,458,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,1130,1
Super Mario Galaxy,26,2007.0,4,361,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,1020,1
Super Mario Land 2: 6 Golden Coins,5,1992.0,1,361,6.16,2.04,2.69,0.29,11.18,70.0,4.0,7.8,4.0,1539,1
Grand Theft Auto IV,28,2008.0,0,497,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,1220,5
Gran Turismo,15,1997.0,6,458,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,1130,1
Super Mario 3D Land,2,2011.0,4,361,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,1020,1
Gran Turismo 5,17,2010.0,6,458,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,1130,1
Call of Duty: Modern Warfare 2,17,2009.0,8,21,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,728,5
Super Mario All-Stars,23,1993.0,4,361,5.99,2.15,2.12,0.29,10.55,70.0,4.0,7.8,4.0,1539,1
Grand Theft Auto IV,17,2008.0,0,497,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,1220,5
Pokemon FireRed/Pokemon LeafGreen,6,2004.0,7,361,4.34,2.65,3.15,0.35,10.49,70.0,4.0,7.8,4.0,1539,1
Super Mario 64,4,2004.0,4,361,5.01,3.07,1.25,0.97,10.3,70.0,4.0,7.8,4.0,1539,1
Call of Duty: Ghosts,28,2013.0,8,21,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,728,5
Just Dance 3,26,2011.0,3,528,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,1539,2
New Super Mario Bros. 2,2,2012.0,4,361,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,1020,1
Mario Kart 64,10,1996.0,6,361,5.55,1.94,2.23,0.15,9.87,70.0,4.0,7.8,4.0,1539,1
Halo: Reach,28,2010.0,8,325,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,256,5
Final Fantasy VII,15,1997.0,7,458,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,1370,7
Halo 4,28,2012.0,8,325,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7,3260.0,18,5
Gran Turismo 2,15,1999.0,6,458,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9,135.0,1130,7
Just Dance 2,26,2010.0,3,528,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,1539,2
Call of Duty: Ghosts,17,2013.0,8,21,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,728,5
Call of Duty 4: Modern Warfare,28,2007.0,8,21,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,728,5
Donkey Kong Country,23,1994.0,4,361,4.36,1.71,3.0,0.23,9.3,70.0,4.0,7.8,4.0,1539,1
Minecraft,28,2013.0,3,325,5.7,2.65,0.02,0.81,9.18,70.0,4.0,7.8,4.0,1539,1
Animal Crossing: New Leaf,2,2012.0,9,361,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,1020,1
